sample	reads	bases
gCSD17_VIE_1	3810472	575381272
gCSD17_VIE_1	3810472	575381272
gCSD17_VIE_2	3072238	463907938
gCSD17_VIE_2	3072238	463907938
gCSD17_VIE_3	2837160	428411160
gCSD17_VIE_3	2837160	428411160
gCSD17_VIE_4	2712440	409578440
gCSD17_VIE_4	2712440	409578440
gCSD17_VIE_5	5776543	872257993
gCSD17_VIE_5	5776543	872257993
gCSD17_VIE_6	3853970	581949470
gCSD17_VIE_6	3853970	581949470
gCSD17_VIE_7	5906299	891851149
gCSD17_VIE_7	5906299	891851149
gCSD17_VIE_8	4196377	633652927
gCSD17_VIE_8	4196377	633652927
gCSD17_VIE_9	4076802	615597102
gCSD17_VIE_9	4076802	615597102
gCSD17_ZRH_10	3097407	467708457
gCSD17_ZRH_10	3097407	467708457
gCSD17_ZRH_11	4916172	742341972
gCSD17_ZRH_11	4916172	742341972
gCSD17_ZRH_12	3248831	490573481
gCSD17_ZRH_12	3248831	490573481
gCSD17_ZRH_13	5791537	874522087
gCSD17_ZRH_13	5791537	874522087
gCSD17_ZRH_14	4756300	718201300
gCSD17_ZRH_14	4756300	718201300
gCSD17_ZRH_15	4381618	661624318
gCSD17_ZRH_15	4381618	661624318
gCSD17_ZRH_16	3655143	551926593
gCSD17_ZRH_16	3655143	551926593
gCSD17_ZRH_1	3227840	487403840
gCSD17_ZRH_1	3227840	487403840
gCSD17_ZRH_2	2100322	317148622
gCSD17_ZRH_2	2100322	317148622
gCSD17_ZRH_3	2897110	437463610
gCSD17_ZRH_3	2897110	437463610
gCSD17_ZRH_4	3216268	485656468
gCSD17_ZRH_4	3216268	485656468
gCSD17_ZRH_5	6495079	980756929
gCSD17_ZRH_5	6495079	980756929
gCSD17_ZRH_6	5307050	801364550
gCSD17_ZRH_6	5307050	801364550
gCSD17_ZRH_7	3474287	524617337
gCSD17_ZRH_7	3474287	524617337
gCSD17_ZRH_8	5399438	815315138
gCSD17_ZRH_8	5399438	815315138
gCSD17_ZRH_9	4917263	742506713
gCSD17_ZRH_9	4917263	742506713
		
